Latitud,Longitud,"ID",Titulo,Anunciante,Descripcion,Reformado,Telefonos,Tipo,Precio,Precio por metro,Direccion,Provincia,Ciudad,Metros cuadrados,Habitaciones,Baños,Parking,Segunda mano,Armarios Empotrados,Construido en,Amueblado,Calefacción individual,Certificación energética,Planta,Exterior,Interior,Ascensor,Fecha,Calle,Barrio,Distrito,Terraza,Trastero,Cocina Equipada,Cocina equipada,Aire acondicionado,Piscina,Jardín,Metros cuadrados útiles,Apto para personas con movilidad reducida,Plantas,Se admiten mascotas,Balcón
40.365843,-3.5884521,84099521,"Alquiler de Piso en calle Juan Antonio Rebolledo y Palma, 20",Profesional   Lazora Alquiler,"""¡Alquila ahora y llévate el primer mes gratis!Vivienda de 2 dormitorios en emblemático edificio de diseño situado en el PAU de Vallecas, galardonado con un conocido premio de arquitectura.Sorprenden sus espectaculares y luminosos portales, de cuidado diseño. Un amplio espacio cubierto, con asientos, en el que disfrutar de la vida vecinal.El edificio cuenta con sistema de video-vigilancia y conserjería particular. En las primeras plantas del edificio las viviendas son tipo dúplex. Además, todas las viviendas disponen de una plaza de garaje.Se encuentra en una zona completamente consolidada con todo tipo de servicios, al lado del Centro Comercial La Gavia, la estación de Metro Valdecarros y a tan sólo 100 metros de Mercadona. Salida directa a la A-3.VIVIENDAS ACABADO ESTÁNDAR.VIVIENDA NO AMUEBLADA, LAS IMÁGENES PERTENECEN A VIVIENDA PILOTO SIN CARÁCTER CONTRACTUAL.Precio desde: 779€/mesREQUISITOSSeguro de impago.En la firma de contrato se solicitará un seguro de vivienda (sobre contenido).Aportación de 3 últimas nóminas o similar para acreditar ratio de solvencia.Antigüedad laboral exigible mínimo 1 año.""",FALSE,917 222 011,piso,779,12.98,"Calle Juan Antonio Rebolledo y Palma, 20, Urb. Edificio Vallecas II, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,60,2,1,TRUE,TRUE,TRUE,2009,FALSE,gas natural,,17,TRUE,FALSE,TRUE,2019/10/1,,,,,,,,,,,,,,,
40.3622039,-3.5936001,87104447,Alquiler de Piso en LAS SUERTES,Profesional   MIRIAM .,"""""-LAS SUERTES/ VALDECARROS- Piso de 76m², exterior, sin amueblar y para entrar a vivir. La vivienda consta de salón, terraza cerrada, tres dormitorios, armarios empotrados, dos cuartos baño y cocina amueblada y equipada con electrodomésticos. Dispone de ascensor, plaza de garaje, trastero, conserje y piscina. Calefacción y agua caliente individual por gas natural. Aire acondicionado. Puerta blindada y suelo de gres. Transporte público más cercano línea de Metro Valdecarros y líneas de autobús, 142, 145 y N9. El inmueble se encuentra rodeado de todo tipo de servicios y comercios incluyendo el Centro Comercial La Gavia. Gastos de comunidad incluidos en el precio. SIN COMISIÓN DE AGENCIA. "".""",FALSE,608 982 823,piso,1000,13.16,"LAS SUERTES, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,76,3,2,TRUE,TRUE,TRUE,,FALSE,gas natural,en trámite,1,TRUE,FALSE,TRUE,2019/9/26,LAS SUERTES, Barrio Ensanche de Vallecas - La Gavia , Distrito Villa de Vallecas ,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,
40.3730194,-3.6076501,84071124,"Alquiler de Piso en calle Corral de Almaguer, Madrid, 12",Profesional   Lazora Alquiler,"""Todas las estancias son independientes, cuenta con calefacción en toda la casa y A/A mediante rejilla en salón y dormitorio. Armarios empotrados.Suelos de tarima.Próximo a la Parroquia de Santa María Josefa del Corazón de Jesús y al Colegio Stella Maris La Gavia.Finca con apenas 10 años de vida, año 2008, dispone de piscina, zona infantil, zonas verdes y conserje.Está situado en una zona muy tranquila rodeado de calles peatonales, cercano a todo tipo de comercios y servicios, próximo a la Parroquia de Santa María Josefa del Corazón de Jesús y al Colegio Stella Maris La Gavia.Muy bien ubicado, a 650 metros de la estación de metro La Gavia (línea 1 conexión directa con el centro de Madrid), líneas regulares de autobuses y fácil acceso a principales carreteras de la Comunidad de Madrid A-3, M-45 Y M-40.Consulte condiciones y disponibilidad. Sin comisiones de agencia.Precio desde: 705€/mesREQUISITOSLibre1 mes de fianzaSeguro de impagoSeguro de vivienda a la firma contrato (contenido)Aportación de 3 últimas nóminas o similar para acreditar ratio de solvencia.""",FALSE,917 222 011,piso,705,17.62,"Calle Corral de Almaguer, Madrid, 12, Urb. Lazora Vallecas III, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,40,,1,TRUE,TRUE,TRUE,2008,FALSE,bomba de frío/calor,en trámite,3,TRUE,FALSE,TRUE,2019/10/1,,,,,TRUE,,,,TRUE,TRUE,,,,,
40.3628468,-3.5920664,33810793,"Alquiler de Piso en avenida de las suertes, 98",Profesional   Promociones Urbanas Sl,"""ABSTENERSE PERSONAS SIN MINUSVALIA.Vivienda TOTALMENTE ADAPTADA A personas de movilidad reducida, en edifio de viviendas de alquiler en régimen protegido (VPPB). Urbanización cerrada con zonas comunes ajardinadas y área de juegos infantiles.Muy bien comunicado, a menos de 5 minutos andando de la parada de metro “Valdecarros”, junto a las líneas de autobús 142, 145 y N9; a 10 min. del C. C. La Gavia, Carrefour e Ikea, frente a Mercadona y cerca de colegios.La vivienda tiene 77, 05 m2 útiles, repartidos en cocina con tendedero, salón, dos dormitorios, y dos baños, uno de ellos totalmente adaptado con plato de ducha a nivel y barras de apoyo tanto en ducha como en inodoro. La cocina está totalmente adaptada y cuenta con vitrocerámica y campana extractora y horno. Armarios empotrados. Dispone de un sistema de aerotermia (Altherma de Daikin con calificación energética de A++) que proporciona aire frío, caliente y acs, .NO SE ADMITEN ANIMALES. El precio INCLUYE GASTOS DE COMUNIDAD, IBI, PLAZA DE GARAJE Y TRASTERO.Condiciones para poder alquilar: *No tener propiedades en la Comunidad de Madrid; a nivel nacional no tener propiedad en régimen protegido.*No superar en ingresos el 2.5 veces el Iprem.NO SE ADMITEN ANIMALES.Se hará estudio de solvencia económica.""",FALSE,914 891 820,piso,689,6.89,"Avenida de las suertes, 98, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,100,2,2,TRUE,TRUE,TRUE,2015,FALSE,TRUE,,,TRUE,FALSE,TRUE,2019/10/2,"Avenida de las suertes, 98", Barrio Ensanche de Vallecas - La Gavia , Distrito Villa de Vallecas ,,TRUE,,,TRUE,,,77,TRUE,,,
40.3675567,-3.6015717,84200113,"Alquiler de Piso en calle José Gutiérrez Maroto, 3",Profesional   Viviendas en alquiler,"""¡Alquila ahora y llévate el primer mes gratis! Oferta válida hasta el 31.10. 2019Vivienda de 2 dormitorios y un baño completo. Incluye plaza de garaje y trastero.Situación privilegiada en la zona, estando frente al centro comercial ""la gavia"" y junto a colegio concertado ""Gredos san diego las suertes"". Con toda clase de comercios y servicios a mano, entre las dos avenidas más importantes del ensanche (avd. de las suertes y avd. ensanche de Vallecas) y totalmente accesible gracias a las carreteras m-45 y a-3. Muy cercano al metro de las suertes (l-1) y con autobús l142 y n9 (búho) a 100 metros. Consulte condiciones y disponibilidad.Sin comisiones de agencia. REQUISITOS1 mes de fianza.Seguro de impago.Seguro de hogar a la firma de contrato (contenido).Aportación de contrato de trabajo o similar (1 año de antigüedad mínimo) y 3 últimas nóminas para acreditar ratio de solvencia.""",FALSE,917 222 013,piso,800,11.76,"Calle José Gutiérrez Maroto, 3, Urb. Edificio Vallecas 62, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,68,2,1,TRUE,TRUE,TRUE,,FALSE,gas natural,en trámite,1,TRUE,FALSE,TRUE,2019/10/1,,,,,TRUE,,,,,,,,,,
40.3660399,-3.6205238,87037099,Alquiler de Piso en Ensanche de Vallecas - La Gavia,Profesional   Inmobiliaria,"""Ref 4736.   Bonito apartamento seminuevo construido en 2008.   Vivienda ubicada en el Ensanche de Vallecas, en urbanización privada con portero físico y piscina. Se distribuye en un dormitorio que incorpora un cuarto de baño con plato de ducha, salón comedor, cocina amueblada e independiente. Calidades: puerta de entrada blindada, puertas interiores en roble, cerramientos exteriores con ventanas de aluminio tipo climalit, suelos de tarima. Calefacción por gas natural y aire acondicionado con bomba de calor por conductos en toda la casa. En el precio está incluida una plaza de garaje muy amplia (ver foto) y trastero. La vivienda se ubica en la séptima planta del edificio, por lo que tiene muy buenas vistas. Zona muy tranquila y muy bien comunicado con transporte, tanto público como privado. LLÁMENOS al TELÉFONO 91 332 42 00. OFICINA en SIERRA DE GADOR 33 en Villa de Vallecas.  .""",FALSE,911 363 142,piso,750,20.27,", Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,37,,1,TRUE,TRUE,TRUE,2009,FALSE,TRUE,,7,TRUE,FALSE,TRUE,2019/9/24,, Barrio Ensanche de Vallecas - La Gavia , Distrito Villa de Vallecas ,,TRUE,TRUE,TRUE,TRUE,TRUE,,32,,,,
40.3640197,-3.5977955,83588933,Alquiler de Piso en avenida del Ensanche de Vallecas,Profesional   Viviendas en alquiler,"""¡Alquila ahora y llévate el primer mes gratis!Oferta válida hasta el 31/10/2019Válido sólo para familia numerosa.Situada en plena Avenida del Ensanche de Vallecas, con todo tipo de servicios a su alcance.Vivienda de 5 dormitorios que cuenta con dos baños.Cocina amueblada y semi equipada (campana, horno y vitrocerámica).Situada en plena Avenida del Ensanche de Vallecas, con todo tipo de servicios a su alcance y perfectamente comunicadas con acceso directo a la a-3 y muy próxima a la m-40 y m-45.Autobuses en la misma puerta, l145 y n9 (búho) y parada de metro ""las suertes"" a 200m. a escasos 5 minutos del centro comercial ""la gavia"" e ikea, así como de supermercados como mercadona, farmacia, bancos y todo tipo de comercios. Además cuenta con amplia oferta educativa, teniendo el colegio bilingüe Loyola de Palacios a mano, escuelas infantiles y zonas de ocio con parques, carril bici y pista de patinaje.Consulte condiciones y disponibilidad.Sin comisiones de agencia. Las imágenes publicitadas corresponden a la vivienda piloto, sin carácter contractual.REQUISITOS VPPAIngresos en 2018 no superiores a 51.254€.Estar empadronado en cualquier municipio de la CAM.No tener vivienda en propiedad.1 mes de fianza + Seguro de impago.Seguro de hogar a la firma de contrato (contenido).Aportación de 3 últimas nóminas o contrato de trabajo para acreditar ratio de solvencia.Carnet de Familia Numerosa.""",FALSE,917 222 013,piso,900,7.83,"Avenida del Ensanche de Vallecas, Urb. Edificio Vallecas 115, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,115,5,2,TRUE,TRUE,TRUE,2006,FALSE,gas natural,,,TRUE,FALSE,TRUE,2019/10/1,,,,,,,,,,,,,,,
40.3590724,-3.5980444,35133364,"Alquiler de Chalet adosado en calle Embalse de Manzanares, 60",Particular    Alquiler,"""ABSTENERSE AGENCIAS.Disponible para visitas a partir de Noviembre 2019.Propietario particular, por lo que no se cobra comisión de agencia. -Vivienda unifamiliar adosada del año 2011 con 4 dormitorios y dos baños ubicada en urbanización cerrada de 20 viviendas unifamiliares. Se alquila sin amueblar excepto la cocina que está completamente equipada.-Distribución:Planta baja: Porche, entrada, salón, cocina y cuarto trastero. Primera planta: 4 dormitorios, dos de ellos dobles, 2 baños y 2 terrazas.Segunda planta (Azotea): Terraza descubierta de 60 metros cuadrados.Total: 142 metros cuadrados útiles más 60 metros de solarium - azotea.-Cocina amueblada con electrodomésticos de primeras marcas (Siemens, Fagor), muebles de estilo moderno y encimera Silestone de 4 metros.-Cuenta con rejas de seguridad en todas las ventanas de la vivienda y puerta principal blindada-Sistema individual de placas solares para el agua caliente de aporte adicional al gas natural (Gran ahorro energético). Incluido en precio del alquiler el mantenimiento de este sistema.-1 plaza de garaje en el parking comunitario subterráneo incluida en el precio. El acceso al parking no es directo desde la vivienda. Se accede desde la urbanización por una entrada con escalera o por otra entrada con rampa.-Integrado en parcela comunitaria con jardines. La vivienda no tiene parcela independiente. La urbanización no tiene piscina comunitaria. Puede instalarse piscina portátil en la terraza de la azotea.La comunidad cuenta con cámaras de vigilancia en urbanización y garaje.-Ubicado en Pau de Vallecas, a 5 minutos andando del metro Valdecarros (Línea 1) y a 15 minutos andando del Centro Comercial La Gavia - IKEA. Varios supermercados Mercadona y Ahorramas en las inmediaciones. Colegio Loyola del Palacio enfrente de a la vivienda. Gastos de comunidad de vivienda y plaza de garaje, Impuesto de Bienes Inmuebles (IBI), seguro de la vivienda y mantenimiento de caldera y placas solares incluidos en el precio.Se requerirá acreditar solvencia económica mediante contrato de trabajo, nominas, etc.""",FALSE,,chalet,1400,6.36,"Calle Embalse de Manzanares, 60, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,220,4,2,TRUE,TRUE,TRUE,,FALSE,gas natural,,,,,,2019/10/1,"Calle Embalse de Manzanares, 60", Barrio Ensanche de Vallecas - La Gavia , Distrito Villa de Vallecas ,TRUE,TRUE,TRUE,TRUE,,,TRUE,142,TRUE,3,TRUE,
40.36071,-3.59795,86302049,"Alquiler de Piso en calle Antonio Gades, 54",Profesional   Viviendas en alquiler,"""¡Alquila ahora y llévate el primer mes gratis!Oferta válida hasta el 31/10/2019Vivienda de 5 dormitorios destinada a familia numerosa. Urbanización privada que cuenta con conserje y amplias zonas comunes con parque infantil. Una de las calles con más relevancia del PAU de Vallecas. Promoción construida en el año 2007. Cocina amueblada y semi equipada con campana, horno y vitrocerámica. Suelos de grés y armarios empotrados. Dispone de una plaza de garaje.   Zona totalmente consolidada con todos los servicios educativos, sanitarios, supermercados, rodeado de parques, zonas verdes, zonas de ocio en el Centro Comercial La Gavia. Perfectamente comunicado; transporte público línea 1 de Metro (junto al metro las Suertes), autobús líneas 142 - 145 y acceso por carretera desde la M-45 y A-3 y con fácil acceso a la M-40 y M-50.Consulte condiciones y disponibilidad.Sin comisiones de agencia.Vivienda no amueblada.Requisitos (VPPA)Ingresos familiares en 2018 que no excedan de 5,5 veces el IPREM (51.254€).Estar empadronado en cualquier municipio de la CAM.Estar inscrito en la lista única de demandantes.No tener vivienda en propiedad.Acreditar mediante carnet, familia numerosa. Garantías1 MES DE FIANZA + SEGURO DE IMPAGO Seguro de vivienda (contenido)Aportación 3 últimas nóminas o contrato de trabajo para acreditar ratio de solvencia.""",FALSE,917 222 013,piso,990,7.62,"Calle Antonio Gades, 54, Urb. Edificio Vallecas 66, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,130,5,2,TRUE,TRUE,TRUE,2007,FALSE,gas natural,en trámite,,TRUE,FALSE,TRUE,2019/10/1,,,,,,,,,,,,,,,
40.36756,-3.60932,87126609,"Alquiler de Piso en calle Entrepeñas, 78",Particular    jim,"""Particular alquila piso muy luminoso, todo exterior, estupendas vistas, amplio, nuevo en Ensanche de Vallecas, muy cerca del metro La Gavia.Consta de 4 dormitorios con armarios empotrados, 2 baños, salón amplio, cocina con lavadora, frigorífico, horno, placa vitrocerámica y campana extractora. Parquet y ventana climalit. Con balgón. Sin muebles.Zona tranquila y segura, con piscina, conserje en la puerta y vigilancia con cámara 24h.Metro y bus cerca en la puerta.Ikea, Carrefour y Centro Comercial La Gavia enfrente. Salidas inmediatas a M45 y A3.Garaje incluidos. IBI e impuesto basura incluidos.Lo alquila directamente el dueño, sin comisión de agencia.IMPORTANTE: hablar mejor por Whatsapp 24h, llamadas a partir de 15:00 de lunes a viernes. Los fines de semana 10:00-23:00.""",FALSE,626 768 582,piso,1050,7.05,"Calle Entrepeñas, 78, Barrio Ensanche de Vallecas - La Gavia, Distrito Villa de Vallecas, Madrid, Madrid capital, Madrid","Madrid capital, Madrid",Madrid,149,4,2,TRUE,TRUE,,,FALSE,gas natural,no indicado,5,TRUE,FALSE,TRUE,2019/9/27,"Calle Entrepeñas, 78", Barrio Ensanche de Vallecas - La Gavia , Distrito Villa de Vallecas ,,,TRUE,TRUE,,TRUE,TRUE,120,TRUE,,TRUE,TRUE
